timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
2021-04-27T11:40:44Z,35-44,Health care,Behavioral Health Case Manager,Insurance company,89000,,USD,,NA,Usa,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:40:45Z,35-44,Nonprofits,Director of Training,NA,60000,,USD,,NA,United States,Maine,Portland,11 - 20 years,5-7 years,Master's degree,Non-binary,White
2021-04-27T11:40:45Z,25-34,"Accounting, Banking & Finance",Manager,NA,102000,,USD,,NA,USA,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:40:46Z,35-44,Health care,Systems analyst,NA,110000,,USD,,NA,Usa,Virginia,Fairfax,21 - 30 years,21 - 30 years,College degree,Woman,Asian or Asian American
2021-04-27T11:40:47Z,25-34,Engineering or Manufacturing,Environmental engineer,NA,84000,,USD,,NA,USA,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:40:47Z,25-34,Computing or Tech,Product Manager,NA,45000,,GBP,,NA,UK,NA,London,8 - 10 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:40:50Z,35-44,Education (Higher Education),Senior manager,Communications,100000,,USD,,NA,USA,Massachusetts,Cambridge,8 - 10 years,5-7 years,Master's degree,Other or prefer not to answer,White
2021-04-27T11:40:54Z,25-34,"Accounting, Banking & Finance",Senior Banking Associate,"Assistant branch manager, they just don't like using the term manager. As my boss, the branch manager had her title changed to sales and service representative.",37000,,USD,,NA,"We don't get raises, we get quarterly bonuses, but they periodically asses income in the area you work, so I got a raise because a 3rd party assessment showed I was paid too little for the area we were located",Massachusetts,Mashpee,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:40:54Z,35-44,Nonprofits,Director of Home Based Services,I am a program director with management and directing duties,64500,,USD,,NA,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:40:54Z,25-34,Law,Legal Fellow,Job between the bar exam and being admitted to the bar,57000,,USD,,NA,United States,District of Columbia,DC,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T11:40:54Z,35-44,Law,Counsel,Senior level attorney but non-partner,250000,,USD,,NA,USA,California,Los Angeles,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
2021-04-27T11:40:54Z,55-64,Pharmaceutical Manufacturing,"Senior Specialist, Conformance",Manufacturing failure analyst,114000,,USD,,NA,USA,California,Berkeley,31 - 40 years,11 - 20 years,PhD,Woman,White
2021-04-27T11:40:55Z,25-34,Education (Higher Education),Senior Costing Analyst,NA,70040,,USD,,NA,USA,Tennessee,Nashville,5-7 years,2 - 4 years,Master's degree,Man,White
2021-04-27T11:40:56Z,55-64,Education (Higher Education),Academic success coach,Academic advisor,53000,,USD,,NA,USA,Maryland,Largo,21 - 30 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:40:57Z,35-44,Education (Higher Education),Associate professor,NA,66000,,EUR,,taxes are 40%,Belgium,NA,Gent,11 - 20 years,11 - 20 years,PhD,Woman,Another option not listed here or prefer not to answer
2021-04-27T11:40:58Z,25-34,"Accounting, Banking & Finance",Compliance Officer,NA,59600,,EUR,,NA,France,NA,Paris,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T11:40:59Z,25-34,Social Work,LCSW-C/Mental Health Clinician,NA,65000,,USD,,NA,United States,Maryland,Baltimore,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:40:59Z,25-34,"Marketing, Advertising & PR",Project Manager,Market research project manager,25300,,GBP,,NA,United Kingdom,NA,Reading,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:00Z,25-34,Nonprofits,Associate,NA,55000,,USD,,NA,United States,Ohio,Cleveland,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
2021-04-27T11:41:04Z,35-44,Law,Human Resources Manager,NA,100000,,USD,,NA,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:41:05Z,25-34,Law,Legal Assistant,NA,54000,,USD,,NA,united states,Minnesota,st paul,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:06Z,25-34,Transport or Logistics,Director of Product Marketing,NA,170000,,USD,,NA,United States,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:41:07Z,25-34,Nonprofits,"Associate Director, Investor Relations",Part of Fundraising/Development Team,82200,,USD,,NA,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:41:07Z,25-34,aerospace data,Geospatial Analyst,NA,57000,,USD,,NA,USA,Colorado,Englewood,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:09Z,25-34,Education (Higher Education),QA/LMS Specialist,I proof-read and set up online courses,68150,,CAD,,NA,Canada,NA,Toronto,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:41:09Z,35-44,Nonprofits,College Scholarship Coordinator,NA,54000,,USD,,NA,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:41:11Z,35-44,Government and Public Administration,Security Officer,"This in an infosec position, not an armed security officer",98000,,USD,,NA,United States,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:41:11Z,35-44,Education (Higher Education),Digital Content Management Librarian,I work in conjunction with scholarly communications and special collections making sure that materials are available via digital format.,88000,,USD,,NA,United States,Massachusetts,"Cambridge ,MA",11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:41:13Z,35-44,Computing or Tech,Corporate Trainer,NA,61000,,USD,,NA,USA,Utah,Salt Lake City,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:41:14Z,35-44,Nonprofits,HR Business Partner,NA,47000,,GBP,,NA,UK,NA,London,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:41:14Z,25-34,Education (Higher Education),Program Director,NA,90000,,USD,,NA,United States,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:14Z,65 or over,Retail,Controller,NA,120000,,USD,,NA,United States,California,Los Angeles,5-7 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:41:15Z,55-64,Health care,receptionist,NA,31200,,USD,,NA,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:41:15Z,45-54,Nonprofits,Executive Director,NA,72000,,CAD,,NA,Canada,NA,St. John's,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:41:16Z,25-34,Engineering or Manufacturing,Quality Engineer,"Medical device, post market surveillance",75000,,USD,,NA,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Non-binary,White
2021-04-27T11:41:17Z,35-44,"Accounting, Banking & Finance",Deputy Director of Accounting,NA,175000,,USD,,NA,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:41:18Z,25-34,Education (Higher Education),Business Operations Analyst,NA,42078,,USD,,NA,United States,Idaho,Moscow,8 - 10 years,2 - 4 years,Some college,Woman,White
2021-04-27T11:41:20Z,25-34,Business or Consulting,Senior Consultant,NA,80000,,USD,,NA,USA,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:20Z,25-34,Engineering or Manufacturing,Inside Sales Engineer,NA,65000,,USD,,NA,United States,Wisconsin,Menomonee Falls,8 - 10 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T11:41:21Z,25-34,Science/Research,Research Program Manager,NA,70000,,USD,,NA,United States,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:41:25Z,45-54,Computing or Tech,Technical writer,NA,110000,,USD,,NA,United States,Rhode Island,Johnston,21 - 30 years,21 - 30 years,College degree,Man,White
2021-04-27T11:41:25Z,25-34,Computing or Tech,Head of Development,lead a devteam of 3 - soon 8 engineers,56400,,EUR,,pre-tax,Netherlands,NA,The Hague,5-7 years,5-7 years,Master's degree,Man,White
2021-04-27T11:41:26Z,35-44,Education (Higher Education),Conservator,Cultural heritage preservation,77000,,USD,,NA,United States,New Jersey,Princeton,21 - 30 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:41:26Z,25-34,Computing or Tech,Brand Advertising Manager,"Client side, on brand team, organizing advertising creative and media",100000,,USD,,"200,000 in RSUs vesting each year for 4 years",United States,California,San Jose,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:41:27Z,25-34,Education (Primary/Secondary),Product Manager,I manage a specific content's K - 8 curriculum for a publisher.,110000,,USD,,NA,United States,Colorado,Denver (but remote - company is NYC),11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:41:27Z,35-44,Education (Higher Education),Faculty Coordinator,NA,65000,,USD,,NA,United States of America,Pennsylvania,Philadelphia,8 - 10 years,11 - 20 years,College degree,Woman,Black or African American
2021-04-27T11:41:29Z,25-34,Law,Associate,NA,125000,,USD,,NA,United States,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
2021-04-27T11:41:30Z,25-34,Hospitality & Events,Area Director of Revenue Management,Revenue Management for two boutique hotels,75000,,USD,,"Bonus potential is up to 30%, usually we end up around half of that. 0 bonus in 2020 or 2021 due to our COVID financial situation",US,"Kentucky, Ohio",Payroll is out of Cincinnati,11 - 20 years,5-7 years,Some college,Woman,White
2021-04-27T11:41:33Z,25-34,Social Work,Success Coach/Program Coordinator,"I work in higher education, meeting monthly with special populations students to provide them with a monthly stipend towards childcare or transportation.",46000,,USD,,NA,USA,Texas,Waco,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:34Z,35-44,Government and Public Administration,Budget analyst,NA,146500,,USD,,NA,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:41:34Z,35-44,Computing or Tech,Support Tech,NA,35000,,USD,,NA,USA,North Carolina,Raleigh NC,2 - 4 years,1 year or less,College degree,Woman,White
2021-04-27T11:41:35Z,25-34,Health care,Professional Research Assistant,NA,50000,,USD,,NA,USA,Colorado,Denver,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:41:35Z,25-34,Education (Higher Education),Enrollment Specialist,I process applications and support the recruitment team,30300,,USD,,NA,USA,Kansas,Overland Park,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:41:36Z,25-34,Nonprofits,Operations Coordinator,NA,60000,,USD,,NA,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Some college,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
2021-04-27T11:41:36Z,25-34,Government and Public Administration,Office Services Manager,NA,52740,,USD,,NA,United States,Nebraska,"Lincoln, NE",5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:41:36Z,25-34,Computing or Tech,Software Engineer,NA,196000,,USD,,NA,USA,California,San Francisco,5-7 years,5-7 years,College degree,Man,Asian or Asian American
2021-04-27T11:41:38Z,45-54,Nonprofits,Fund Administrator,Sole employee (admin/bookkeeper) supported by volunteer directors.,75000,,CAD,,NA,Canada,NA,"Vancouver, B.C.",31 - 40 years,31 - 40 years,College degree,Woman,White
2021-04-27T11:41:39Z,35-44,Computing or Tech,Senior Technical Writer,NA,78000,,USD,,"Haven't been at the job for a year yet, so no information on bonuses.",United States,Texas,Dallas,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:41:39Z,35-44,Computing or Tech,Director of Strategic Partnerships,NA,70000,,USD,,NA,United States,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T11:41:41Z,25-34,"Accounting, Banking & Finance","Senior Manager, Finance",NA,140000,,USD,,NA,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
2021-04-27T11:41:42Z,25-34,Law,legal assistant,NA,30000,,USD,,NA,United States,Texas,Houston,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:41:47Z,25-34,Nonprofits,Senior Research Analyst,NA,69000,,USD,,NA,United States,Virginia,Arlington,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:47Z,25-34,Health care,Senior Project Manager,NA,115000,,USD,,Additional compensation is based on merit and includes an annual bonus and restricted stock grants.,United States,Virginia,Arlington,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:41:48Z,25-34,Computing or Tech,Technical Writer II,NA,70000,,USD,,NA,United States,Colorado,Denver,8 - 10 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:41:48Z,25-34,Transport or Logistics,General Manager of Fulfillment,NA,110000,,USD,,NA,United States,Tennessee,Memphis,8 - 10 years,5-7 years,College degree,Man,White
2021-04-27T11:41:48Z,25-34,Education (Primary/Secondary),Middle School Teacher,NA,52000,,USD,,"I am part-time, no benefits.",United States,California,Pasadena,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:41:50Z,35-44,Engineering or Manufacturing,Software Business Analyst,NA,95000,,CAD,,NA,Canada,NA,Waterloo,11 - 20 years,8 - 10 years,College degree,Woman,Native American or Alaska Native
2021-04-27T11:41:52Z,35-44,Computing or Tech,GIS Specialist,NA,64000,,USD,,NA,USA,New York,Albany,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:41:53Z,25-34,Law,Patent agent,NA,150000,,USD,,NA,United States,California,San Diego,2 - 4 years,2 - 4 years,PhD,Woman,"Asian or Asian American, White"
2021-04-27T11:41:54Z,25-34,Government and Public Administration,Librarian IV,Collection Development Manager,53863,,USD,,NA,USA,Louisiana,Metairie,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:41:56Z,35-44,Education (Primary/Secondary),ESOL Teacher,NA,68000,,USD,,I am a 10 month employee.,USA,Maryland,Baltimore,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:41:59Z,45-54,Law,Litigation Paralegal,Mid-sized firm,105000,,USD,,NA,USA,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:41:59Z,25-34,"Accounting, Banking & Finance",Senior Scrum Master,NA,85000,,USD,,The indicated bonus is a once-annual lump sum,USA,Florida,Tampa,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:42:00Z,45-54,Nonprofits,Program Manager & Staff Attorney,our titles are nonstandard even in the org--I'm a policy analyst who designs and manages court reform projects and advocacy related to them.,47076,,USD,,NA,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T11:42:01Z,45-54,Law,Attorney,income (not equity) partner,167000,,USD,,"The additional compensation is variable, depending on the revenues generated by clients that I originate.",USA,Illinois,Chicago,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T11:42:02Z,25-34,Nonprofits,Research Manager,NA,56000,,USD,,NA,USA,California,Fullerton,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:42:04Z,25-34,Transport or Logistics,Office manager,NA,50000,,USD,,NA,USA,Texas,Houston,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-27T11:42:06Z,35-44,Nonprofits,College Access Director,NA,65000,,USD,,NA,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:42:06Z,45-54,Education (Higher Education),IT Services Coordinator III,"Mostly telecom coordination, think voice, data, network, wifi, connectivity at a University",60500,,USD,,NA,U.S.,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T11:42:07Z,25-34,Nonprofits,Library Clerk,NA,24000,,USD,,NA,USA,New York,"Hudson, NY",5-7 years,2 - 4 years,College degree,Non-binary,White
2021-04-27T11:42:08Z,45-54,Government and Public Administration,Archivist,NA,80000,,USD,,NA,USA,New York,Buffalo,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:42:08Z,45-54,"Accounting, Banking & Finance",Title examiner,NA,45750,,USD,,NA,United states,Florida,Melbourne,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:42:09Z,25-34,Education (Higher Education),Assistant Professor,"Tenure-track, R1",68000,,USD,,NA,Unites States,Mississippi,Starkville,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T11:42:10Z,45-54,Government and Public Administration,Data Analyst,NA,80000,,USD,,NA,USA,North Carolina,Asheville,21 - 30 years,2 - 4 years,PhD,Woman,White
2021-04-27T11:42:13Z,35-44,Government and Public Administration,Scientist Manager,Natural Resources,86000,,USD,,NA,United States,Virginia,Richmond,8 - 10 years,8 - 10 years,PhD,Man,White
2021-04-27T11:42:14Z,45-54,Computing or Tech,Database Administrator,NA,61000,,EUR,,NA,Germany,NA,Aachen,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:42:15Z,35-44,Computing or Tech,Program Manager II,NA,81600,,USD,,NA,United States,Massachusetts,Boston,11 - 20 years,2 - 4 years,College degree,Non-binary,White
2021-04-27T11:42:16Z,35-44,Government and Public Administration,Policy analyst,NA,133452,,USD,,It includes ~20% locality pay for living in a high COL area,US,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:42:18Z,35-44,Business or Consulting,Executive Assistant,NA,87000,,USD,,NA,United States,New York,New YOrk,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:42:19Z,35-44,Biotech/Pharma,Senior Manager Regulatory Affairs Labeling,NA,145000,,USD,,NA,United States,Washington,Bothell,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:42:23Z,25-34,Education (Higher Education),Post-Award Research Administrator,Research Administration,43550,,USD,,NA,U.S.,North Carolina,Greensboro,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:42:27Z,35-44,Nonprofits,Manager of Special Events and Donor Relations,NA,41800,,USD,,NA,United States,Maryland,Olney,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:42:28Z,25-34,Business or Consulting,VP of Development,NA,165000,,USD,,NA,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:42:28Z,25-34,Nonprofits,Partnerships Manager,NA,75000,,USD,,NA,United States,"District of Columbia, Virginia",Arlington,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:42:29Z,45-54,Government and Public Administration,Application Development Manager,NA,90000,,USD,,NA,US,Georgia,Atlanta,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:42:30Z,25-34,Health care,Clinical pharmacist,Hospital based,135000,,USD,,NA,United States,NA,Cleveland,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
2021-04-27T11:42:31Z,45-54,Government and Public Administration,County Librarian,(Director of County Library System),145000,,USD,,NA,USA,California,Rural,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:42:31Z,35-44,Education (Primary/Secondary),Theatre Teacher (5-6 grade),NA,58900,,USD,,I work about 190 days a year,USA,Texas,Houston,11 - 20 years,1 year or less,Master's degree,Woman,Black or African American
2021-04-27T11:42:33Z,35-44,Real Estate Investment,Associate - Financial Reporting,SEC reporting,73000,,USD,,NA,USA,Colorado,Denver,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:42:33Z,25-34,Health care,Pharmacist,Part time,55000,,USD,,NA,United States,Texas,Tyler,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin"
2021-04-27T11:42:35Z,45-54,Recruitment or HR,HR systems analyst,NA,100000,,USD,,NA,USA,Arizona,Phoenix,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:42:37Z,35-44,Education (Higher Education),Chief of Staff (to a university senior administrator),NA,80000,,CAD,,NA,Canada,NA,would give too much away,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:42:38Z,25-34,Government and Public Administration,Research Administrator,Processing immigration documents for health insurance coverage,35500,,USD,,NA,USA,New York,Albany,8 - 10 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:42:38Z,45-54,Law,Counsel,NA,246000,,USD,,NA,US,New York,New York,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
2021-04-27T11:42:39Z,25-34,Supply chain,Material Planner,NA,56000,,USD,,NA,United States,Pennsylvania,New Kensington,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:42:42Z,45-54,Computing or Tech,Senior Deliverablity Consultant,"I work in email, helping people understand how to get their mail delivered to the Inbox (secret hint:  send mail people want!)",110000,,USD,,The additional is a bonus for making our goals - specifically achieving billable hours targets,United States,California,San Francisco Bay Area,21 - 30 years,11 - 20 years,Some college,Woman,White
2021-04-27T11:42:43Z,45-54,Education (Primary/Secondary),Teacher + Program Coordinator,part-time teaching + department leadership,75000,,USD,,NA,United States,New York,"Rochester, NY",21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:42:46Z,35-44,Business or Consulting,Office Manager,NA,80000,,USD,,NA,USA,Texas,Dallas,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:42:47Z,35-44,"Marketing, Advertising & PR","Sr Manager, Digital",NA,160000,,USD,,NA,United States,Arizona,Phoenix,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:42:48Z,65 or over,Education (Higher Education),Metadata Librarian,"basically, I'm a Cataloger",71000,,USD,,NA,USA,Virginia,Charlottesville,41 years or more,31 - 40 years,Master's degree,Woman,White
2021-04-27T11:42:48Z,45-54,Computing or Tech,Production Analyst,NA,65000,,USD,,NA,United States,Kansas,Kansas City,21 - 30 years,8 - 10 years,Master's degree,Man,White
2021-04-27T11:42:49Z,35-44,Government and Public Administration,Principal Planning Analyst,"Program development and evaluation, facilitation, outcomes development and CQI",94000,,USD,,NA,United States,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,Master's degree,NA,White
2021-04-27T11:42:50Z,25-34,Computing or Tech,Senior Data Scientist,NA,138000,,USD,,NA,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:42:50Z,35-44,Public library,Librarian,NA,43000,,USD,,NA,United States,Indiana,Terre Haute,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:42:52Z,35-44,Computing or Tech,Senior IT Consultant,NA,114000,,USD,,NA,United States,Ohio,Toledo,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:42:52Z,35-44,"Accounting, Banking & Finance",Office Accountant,I handle review and processing of timesheets; accounts payable; accounts receivables and various other admin tasks for a public accounting firm.,62400,,USD,,"my base salary is $62,400; but I have a lot of overtime, so my annual wages for 2020 were $86k.  During our busy seasons, I work lots of hours.",USA,Texas,San Antonio,11 - 20 years,11 - 20 years,Some college,Woman,White
2021-04-27T11:42:53Z,25-34,Engineering or Manufacturing,Senior Regulatory Affairs Specialist,NA,100000,,USD,,NA,USA,Washington,Redmond,5-7 years,2 - 4 years,PhD,Woman,White
2021-04-27T11:42:53Z,25-34,Biotech/pharma,Scientist I,NA,109000,,USD,,NA,USA,Washington,Seattle,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T11:42:53Z,25-34,Education (Higher Education),Communities Manager,NA,47000,,GBP,,NA,UK,NA,London,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:42:54Z,35-44,Health care,AP Senior Anaylst,Accts payable reporting/technology,64906,,USD,,NA,US,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:42:54Z,45-54,"Accounting, Banking & Finance",Senior Marketing Consultant,Unofficial title is Web Content Manager. I both manage and build and maintain web pages based on internal stakeholder requests.,63600,,USD,,NA,United States,Ohio,Cleveland,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:42:55Z,45-54,Nonprofits,Interim Executive Director,I am serving an interim capacity but intend to go back to an associate ED level upon hire,120000,,USD,,"I will go back to around 90,000/year when I go back to my previous level",USA,Illinois,Chicago,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:42:56Z,35-44,Business or Consulting,Vice President,Meetings & Events,92000,,USD,,NA,United States,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:42:56Z,25-34,public library,Outreach Librarian,NA,39000,,USD,,NA,USA,Illinois,Roselle,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:42:57Z,35-44,Government and Public Administration,Interns and Fellows Program Administrator,NA,87304,,USD,,NA,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
2021-04-27T11:42:57Z,35-44,Computing or Tech,IT Program Manager,work as a consultant in mergers & aquisitions,143000,,USD,,"hourly employee, 40 hours paid PTO",United States,Wisconsin,Milwaukee area,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:42:57Z,35-44,Nonprofits,Field Coordinator,NA,51600,,AUD/NZD,,NA,Australia,NA,Sydney,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:42:57Z,18-24,Recruitment or HR,Human Resources Specialist,NA,56500,,USD,,NA,USA,District of Columbia,Washington D.C.,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:43:00Z,25-34,Education (Higher Education),Academic Advisor,NA,49000,,USD,,NA,USA,Georgia,Atlanta,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:43:00Z,18-24,Nonprofits,Secretary,NA,31000,,USD,,NA,United States,New Jersey,Basking Ridge,1 year or less,1 year or less,College degree,Non-binary,Asian or Asian American
2021-04-27T11:43:01Z,25-34,Nonprofits,Communications Officer,NA,100000,,USD,,NA,United States,New York,"New York, NY",5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:43:03Z,25-34,Nonprofits,Program Director,NA,53000,,USD,,NA,Usa,New Mexico,Albuquerque,8 - 10 years,8 - 10 years,Master's degree,Man,White
2021-04-27T11:43:04Z,25-34,Health care,Chief Operating Officer,NA,200000,,USD,,NA,United States,California,San Francisco,11 - 20 years,11 - 20 years,Some college,Man,White
2021-04-27T11:43:05Z,25-34,technology/SaaS,Implementation Manager,onboards new customers,87500,,USD,,negotiated my salary - was offered 10k less,USA,Ohio,Columbus,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:43:05Z,18-24,Education (Primary/Secondary),Director of Curriculum,Technical area,102000,,USD,,NA,U.S.,NA,Remote,2 - 4 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:43:07Z,35-44,Health care,Laboratory technician,NA,58000,,USD,,NA,Usa,Illinois,Chicago,11 - 20 years,11 - 20 years,Some college,Woman,White
2021-04-27T11:43:10Z,25-34,Nonprofits,Director of Grants Management,NA,51000,,USD,,NA,United States,Kentucky,Louisville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:43:11Z,35-44,Art & Design,Graphic Designer,Intermediate level,72000,,CAD,,NA,Canada,NA,Toronto,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:43:14Z,25-34,Engineering or Manufacturing,Mechanical Engineer III,NA,114400,,USD,,NA,United States,Massachusetts,Andover,5-7 years,5-7 years,College degree,Woman,White
